studyno,treat_ad,cluster,name_recall,positive_impression
2,0,"Study 2, Cluster Number 1",0,0
2,0,"Study 2, Cluster Number 2",1,0
2,0,"Study 2, Cluster Number 3",0,0
2,0,"Study 2, Cluster Number 4",1,0
2,1,"Study 2, Cluster Number 7",1,1
2,1,"Study 2, Cluster Number 7",0,0
2,1,"Study 2, Cluster Number 7",1,1
2,0,"Study 2, Cluster Number 8",1,0
2,0,"Study 2, Cluster Number 10",0,0
2,0,"Study 2, Cluster Number 11",1,1
2,0,"Study 2, Cluster Number 11",0,0
2,0,"Study 2, Cluster Number 11",0,0
2,0,"Study 2, Cluster Number 13",0,0
2,0,"Study 2, Cluster Number 14",0,0
2,0,"Study 2, Cluster Number 14",0,0
2,0,"Study 2, Cluster Number 15",0,0
2,0,"Study 2, Cluster Number 16",0,0
2,0,"Study 2, Cluster Number 17",0,0
2,0,"Study 2, Cluster Number 17",0,0
2,0,"Study 2, Cluster Number 18",0,0
2,0,"Study 2, Cluster Number 19",0,0
2,1,"Study 2, Cluster Number 20",0,0
2,1,"Study 2, Cluster Number 20",0,0
2,0,"Study 2, Cluster Number 21",0,0
2,0,"Study 2, Cluster Number 22",0,0
2,0,"Study 2, Cluster Number 23",0,0
2,1,"Study 2, Cluster Number 24",1,0
2,0,"Study 2, Cluster Number 25",1,0
2,0,"Study 2, Cluster Number 26",0,0
2,0,"Study 2, Cluster Number 27",1,1
2,0,"Study 2, Cluster Number 27",1,0
2,0,"Study 2, Cluster Number 28",0,0
2,0,"Study 2, Cluster Number 29",1,0
2,0,"Study 2, Cluster Number 30",1,1
2,1,"Study 2, Cluster Number 31",1,1
2,0,"Study 2, Cluster Number 32",0,0
2,0,"Study 2, Cluster Number 33",0,0
2,0,"Study 2, Cluster Number 34",0,0
2,0,"Study 2, Cluster Number 35",1,1
2,0,"Study 2, Cluster Number 37",0,0
2,0,"Study 2, Cluster Number 39",1,1
2,0,"Study 2, Cluster Number 40",0,0
2,1,"Study 2, Cluster Number 41",1,0
2,0,"Study 2, Cluster Number 44",1,1
2,0,"Study 2, Cluster Number 46",1,1
2,0,"Study 2, Cluster Number 46",1,0
2,0,"Study 2, Cluster Number 47",1,1
2,0,"Study 2, Cluster Number 47",1,0
2,0,"Study 2, Cluster Number 48",1,1
2,0,"Study 2, Cluster Number 49",1,1
2,0,"Study 2, Cluster Number 52",0,0
2,0,"Study 2, Cluster Number 53",0,0
2,0,"Study 2, Cluster Number 54",0,0
2,0,"Study 2, Cluster Number 54",1,1
2,0,"Study 2, Cluster Number 55",0,0
2,0,"Study 2, Cluster Number 57",0,0
2,0,"Study 2, Cluster Number 59",1,1
2,0,"Study 2, Cluster Number 61",1,0
2,0,"Study 2, Cluster Number 61",0,0
2,0,"Study 2, Cluster Number 62",1,1
2,1,"Study 2, Cluster Number 63",0,0
2,0,"Study 2, Cluster Number 64",0,0
2,0,"Study 2, Cluster Number 67",1,1
2,0,"Study 2, Cluster Number 69",0,0
2,0,"Study 2, Cluster Number 69",0,0
2,1,"Study 2, Cluster Number 71",0,0
2,0,"Study 2, Cluster Number 72",1,1
2,0,"Study 2, Cluster Number 72",0,0
2,0,"Study 2, Cluster Number 73",0,0
2,1,"Study 2, Cluster Number 75",1,1
2,0,"Study 2, Cluster Number 76",0,0
2,1,"Study 2, Cluster Number 78",0,0
2,0,"Study 2, Cluster Number 80",0,0
2,0,"Study 2, Cluster Number 80",0,0
2,1,"Study 2, Cluster Number 81",0,0
2,1,"Study 2, Cluster Number 81",0,0
2,0,"Study 2, Cluster Number 82",1,1
2,0,"Study 2, Cluster Number 82",0,0
2,1,"Study 2, Cluster Number 83",1,1
2,0,"Study 2, Cluster Number 84",0,0
2,1,"Study 2, Cluster Number 86",1,1
2,0,"Study 2, Cluster Number 87",1,0
2,0,"Study 2, Cluster Number 87",0,0
2,0,"Study 2, Cluster Number 88",0,0
2,0,"Study 2, Cluster Number 88",0,0
2,1,"Study 2, Cluster Number 89",0,0
2,0,"Study 2, Cluster Number 90",0,0
2,0,"Study 2, Cluster Number 90",0,0
2,0,"Study 2, Cluster Number 91",0,0
2,0,"Study 2, Cluster Number 93",1,1
2,0,"Study 2, Cluster Number 93",1,1
2,0,"Study 2, Cluster Number 93",0,0
2,0,"Study 2, Cluster Number 93",1,0
2,0,"Study 2, Cluster Number 93",0,0
2,0,"Study 2, Cluster Number 93",1,1
2,0,"Study 2, Cluster Number 93",0,0
2,0,"Study 2, Cluster Number 94",0,0
2,1,"Study 2, Cluster Number 95",1,1
2,0,"Study 2, Cluster Number 96",0,0
2,0,"Study 2, Cluster Number 98",1,0
2,0,"Study 2, Cluster Number 99",1,1
2,1,"Study 2, Cluster Number 100",0,0
2,1,"Study 2, Cluster Number 100",1,1
2,0,"Study 2, Cluster Number 101",1,1
2,1,"Study 2, Cluster Number 102",1,1
2,0,"Study 2, Cluster Number 103",0,0
2,0,"Study 2, Cluster Number 103",1,0
2,1,"Study 2, Cluster Number 104",1,1
2,1,"Study 2, Cluster Number 104",1,1
2,0,"Study 2, Cluster Number 106",0,0
2,1,"Study 2, Cluster Number 110",1,0
2,1,"Study 2, Cluster Number 110",1,1
2,0,"Study 2, Cluster Number 111",0,0
2,0,"Study 2, Cluster Number 112",1,1
2,0,"Study 2, Cluster Number 113",0,0
2,0,"Study 2, Cluster Number 113",0,0
2,0,"Study 2, Cluster Number 113",0,0
2,0,"Study 2, Cluster Number 113",1,1
2,0,"Study 2, Cluster Number 113",1,1
2,0,"Study 2, Cluster Number 115",0,0
2,0,"Study 2, Cluster Number 116",0,0
2,0,"Study 2, Cluster Number 116",1,1
2,0,"Study 2, Cluster Number 116",1,1
2,0,"Study 2, Cluster Number 117",0,0
2,0,"Study 2, Cluster Number 117",1,0
2,1,"Study 2, Cluster Number 118",1,0
2,1,"Study 2, Cluster Number 119",1,0
2,0,"Study 2, Cluster Number 122",1,1
2,0,"Study 2, Cluster Number 123",0,0
2,0,"Study 2, Cluster Number 125",0,0
2,0,"Study 2, Cluster Number 125",0,0
2,1,"Study 2, Cluster Number 126",0,0
2,1,"Study 2, Cluster Number 126",0,0
2,0,"Study 2, Cluster Number 127",0,0
2,0,"Study 2, Cluster Number 127",0,0
2,0,"Study 2, Cluster Number 127",0,0
2,0,"Study 2, Cluster Number 128",1,1
2,0,"Study 2, Cluster Number 128",1,1
2,0,"Study 2, Cluster Number 128",1,0
2,1,"Study 2, Cluster Number 129",1,1
2,0,"Study 2, Cluster Number 130",1,0
2,0,"Study 2, Cluster Number 131",0,0
2,0,"Study 2, Cluster Number 131",1,1
2,0,"Study 2, Cluster Number 132",1,0
2,0,"Study 2, Cluster Number 132",0,0
2,0,"Study 2, Cluster Number 133",0,0
2,0,"Study 2, Cluster Number 134",0,0
2,0,"Study 2, Cluster Number 134",1,0
2,0,"Study 2, Cluster Number 134",1,1
2,0,"Study 2, Cluster Number 134",1,0
2,1,"Study 2, Cluster Number 135",0,0
2,0,"Study 2, Cluster Number 136",0,0
2,0,"Study 2, Cluster Number 136",1,1
2,1,"Study 2, Cluster Number 138",0,0
2,1,"Study 2, Cluster Number 139",0,0
2,1,"Study 2, Cluster Number 139",0,0
2,1,"Study 2, Cluster Number 139",0,0
2,1,"Study 2, Cluster Number 139",1,1
2,1,"Study 2, Cluster Number 143",0,0
2,1,"Study 2, Cluster Number 143",0,0
2,0,"Study 2, Cluster Number 144",0,0
2,0,"Study 2, Cluster Number 144",0,0
2,0,"Study 2, Cluster Number 145",1,0
2,0,"Study 2, Cluster Number 146",1,1
2,0,"Study 2, Cluster Number 146",1,1
2,0,"Study 2, Cluster Number 146",1,1
2,0,"Study 2, Cluster Number 147",0,0
