draft_number,years_education,income
267,16,44573.9
357,13,10611.75
351,19,165467.8
205,16,71278.4
42,19,54445.09
240,11,32059.12
255,17,92999.16
98,15,101687.5
284,13,65714.58
63,18,99282.77
221,18,98032.9
26,13,38012.7
364,11,57406.49
282,14,27717.22
294,18,91580.59
80,15,37371.93
90,15,31160.08
246,16,83127.5
246,13,78158.4
275,12,51440.08
27,16,36557.61
65,17,83843.32
350,15,73435.76
347,14,82634.01
9,20,83202.29
344,12,20178.78
171,15,67092.75
237,15,43193.54
146,13,14792.59
28,16,66417.35
173,12,42151.95
98,15,49478.42
260,15,92410.91
197,14,62195.87
219,13,47317.1
158,14,57992
221,16,51291.09
304,15,78094.99
66,18,45354.55
276,17,107019
240,19,59428.61
199,16,68934.83
155,13,35461.92
24,21,177555.3
287,11,48479.17
252,12,38887.92
314,15,47322.93
132,13,50637.07
125,11,28551.49
58,16,66872.46
2,16,66311.52
254,14,29097.29
172,12,46526.86
25,15,76902.75
83,17,100660.8
225,17,101715.3
154,14,114923.6
278,14,50441.02
133,19,27138.37
332,17,124618.8
89,13,57523.95
262,13,99166.86
349,15,19727.14
146,13,76424.39
202,13,49731.42
20,19,113723
309,15,68733.66
303,14,24235.01
358,12,53659.73
262,15,75656.05
178,16,53518.61
334,14,58929.43
62,19,69196.95
48,20,93511.77
264,12,46105.98
143,11,34159.55
282,12,51287.52
329,16,48146.57
294,11,80700.73
275,15,92602.77
164,17,74972.77
59,21,147537
324,12,50749.14
255,17,113949.2
271,13,1213.527
47,19,78703.96
162,15,94319.24
154,15,38955.16
264,13,20349.59
320,13,33654.8
342,16,100961.4
258,18,74423.73
30,14,87666.85
333,10,41090.79
206,14,25465.11
97,16,12872.8
364,17,92161.63
182,13,43007.75
24,18,102884.8
292,15,69024.92
108,12,0
204,18,61139.76
145,15,35976.93
245,13,59364.33
100,15,135768.2
305,14,37803.95
253,10,45504.42
266,14,34467.7
324,18,92387.22
219,13,48922.92
42,18,43424.98
345,11,21835.68
277,15,57103.85
168,15,60632.21
177,18,32062.04
130,14,48855.8
144,11,47400
204,11,47533.84
201,17,116909.3
112,15,85302.88
289,16,91563.53
138,15,87887
162,12,67346.11
190,13,74993.55
82,16,43205.09
38,17,66751.59
209,17,62603.31
290,13,71409.5
197,12,61327.65
339,14,64655.8
240,17,73277.55
226,16,75564.88
211,16,18472.83
180,16,65528.76
309,13,26845.47
185,15,72972.38
316,15,81372.18
93,14,99780.79
99,17,80429.98
15,14,75975.65
81,14,33041.87
193,16,85321.03
77,18,75792.84
257,12,45956.16
288,14,38374.29
152,15,68564.84
17,15,50975.87
244,12,58297.72
35,14,29875.38
182,10,34225.84
133,12,65711.72
183,19,82908.7
165,13,50903.56
305,16,62735.72
2,19,117065.4
299,14,36910.79
346,10,26913.71
210,16,101775.9
171,14,83218.34
325,14,36745.3
104,15,38957.19
181,14,37658.55
55,19,12126.82
175,17,34134.84
273,10,25253.25
66,15,56037.09
298,16,120720.8
348,19,115607.3
332,16,49345.98
180,14,63375.11
362,14,53542.46
307,17,93128.08
251,12,94914.97
269,14,44427.72
305,14,54158.41
299,15,49757.37
311,12,27089.31
245,14,42260.26
186,17,170441.3
165,11,33585.6
170,17,31321.35
172,12,15128.06
338,15,89399.8
216,15,86216.84
331,14,49665.55
232,15,67514.59
49,19,65561.78
345,14,57746.15
117,13,40823.91
229,16,134212.2
106,13,54585.1
78,18,139170.7
330,12,47040.48
288,13,81931.41
163,15,13461.39
106,16,46719.97
299,15,0
171,13,40596.6
20,14,29862.38
34,19,62160.14
133,13,84827.96
334,14,56538.89
23,15,59447.65
25,15,37762.29
158,15,124313.3
313,15,4430.178
282,15,59720.77
362,9,25392.91
171,10,48672.04
356,15,16014.44
109,13,67384.19
166,11,43488.35
46,21,137004.9
14,19,67808.31
295,14,130967.7
175,16,16556.57
144,17,125344.9
91,14,52070.8
51,19,131051.1
106,13,0
73,14,93747.45
69,16,52099.39
145,17,77544.76
